Year,Wind Power,Solar,Biomass,Bagasse,Small Hydro,Large Hydro,Other ( Waste to energy etc),Total Generation
2013,,,,,,,,
2015,5325.54,1184.44,20.34,0,28.32,0,0,6558.64
2016,6000.66,1260.69,5.74,0,19.11,0,0,7286.2
2017,8526.38,1730.14,25.75,0,39.17,0,0,10321.44
2018,10504.79,2244.92,63.58,0,71.08,0,0,12884.37
2019,9155.33,2237.42,68.97,12.92,93.14,0,16.08,11583.86
2020,8590.7,2984.92,67.48,18.52,142.33,0,13.3,11817.24
2021,17167.6,6118.49,0,20.15,184.04,0,0,23490.27
2022,18588.23,9292.99,0,8.98,210.65,0,2.24,28103.09
2023,24067.88,12624.37,0,3.61,213.46,4684.2,0,41593.54
2024,24644.66,17374.38,43.5,1.39,201.65,5979.86,0,48245.43