"Month, Year",Wind Power,Solar,Biomass,Bagasse,Small Hydro,Large Hydro,Other ( Waste to energy etc),Total Generation,,,
"Jan, 2015",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
"Feb, 2015",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
"Mar, 2015",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Source: 2015-2016,,
"Apr, 2015",514.68,152.45,2.97,0,3.56,0,0,673.66,cea.nic.in,apr report link,
"May, 2015",738.01,160.88,1.73,0,2.07,0,0,902.69,,may report link,
"Jun, 2015",646.86,125.86,1.55,0,0.48,0,0,774.75,,jun report link,
"Jul, 2015",1196.89,95.12,1.67,0,2.44,0,0,1296.12,,jul report link,
"Aug, 2015",720.14,103.89,2.65,0,2.35,0,0,829.03,,aug report link,
"Sep, 2015",329.98,130.37,3.38,0,3.72,0,0,467.45,,sept report link,
"Oct, 2015",258,149.79,2.36,0,4.13,0,0,414.28,,oct report link,
"Nov, 2015",427.14,127.39,2.22,0,5.31,0,0,562.06,,nov report link,
"Dec, 2015",493.84,138.69,1.81,0,4.26,0,0,638.6,,dec report link,
Year 2015,5325.54,1184.44,20.34,0,28.32,0,0,6558.64,,,
,,,,,,,,,,,
"Jan, 2016",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
"Feb, 2016",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
"Mar, 2016",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
"Apr, 2016",500.28,170.97,0.23,0,2.01,0,0,673.49,,,
"May, 2016",992.25,165.63,0.06,0,0,0,0,1157.94,,,
"Jun, 2016",1025.54,138.71,0,0,0,0,0,1164.25,,,
"Jul, 2016",1040.7,103.35,0.02,0,0,0,0,1144.07,,,
"Aug, 2016",908.5,95.03,0.02,0,4,0,0,1007.55,,,
"Sep, 2016",631.18,140.88,0,0,0,0,0,772.06,,,
"Oct, 2016",255.02,147.39,1.1,0,4.05,0,0,407.56,,,
"Nov, 2016",258.66,147.56,2.08,0,4.36,0,0,412.66,,,
"Dec, 2016",388.53,151.17,2.23,0,4.69,0,0,546.62,,,
Year 2016,6000.66,1260.69,5.74,0,19.11,0,0,7286.2,,,
,,,,,,,,,,,
"Jan, 2017",578.07,148.96,2.42,0,1.15,0,0,730.6,Source: 2016,Jan report link,
"Feb, 2017",550.71,152.19,1.92,0,3.36,0,0,708.18,cea.nic.in,Feb report link,
"Mar, 2017",590.57,176.44,2.08,0,3.92,0,0,773.01,,Mar report link,
"Apr, 2017",947.36,186.25,2.69,0,4.41,0,0,1140.71,,Apr report link,
"May, 2017",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
"Jun, 2017",1126.3,153.78,1.64,0,0.6,0,0,1282.32,,jun report link,
"Jul, 2017",1475.6,90.24,0.77,0,3.86,0,0,1570.47,,jul report link ,
"Aug, 2017",1085.68,131.04,1.88,0,5.79,0,0,1224.39,,aug report link,
"Sep, 2017",401.83,169.35,2.49,0,4.39,0,0,578.06,,sept link link,
"Oct, 2017",386.72,192.54,3.42,0,3.44,0,0,586.12,,oct report link,
"Nov, 2017",512.11,167.67,3.33,0,4.98,0,0,688.09,,nov report link,
"Dec, 2017",871.43,161.68,3.11,0,3.27,0,0,1039.49,,dec report link,
Year 2017,8526.38,1730.14,25.75,0,39.17,0,0,10321.44,,,
,,,,,,,,,,,
"Jan, 2018",473.47,195.43,3.54,0,1.62,0,0,674.06,Source: 2018-2019,,
"Feb, 2018",440.69,182.95,3.61,0,3.91,0,0,631.16,cea.nic.in,Feb report link,
"Mar, 2018",672.96,230.67,4.21,0,4.84,0,0,912.68,,Mar report link,
"Apr, 2018",717.45,220.5,6.1,0,5.16,0,0,949.21,,April report: link,(has data for apr-dec 2018 + jan 2018 + jan 2019)
"May, 2018",1167.64,216.23,6.84,0,4.1,0,0,1394.81,,Apr report link,
"Jun, 2018",1633.15,173.97,6.41,0,3.39,0,0,1816.92,,Jun report link,
"Jul, 2018",1660.69,126.27,5.88,0,7.57,0,0,1800.41,,Jul report link,
"Aug, 2018",1480.61,120.47,4.76,0,9.3,0,0,1615.14,,,
"Sep, 2018",802.54,169.68,4.15,0,10.83,0,0,987.2,,,
"Oct, 2018",296.62,200.4,7.27,0,8.18,0,0,512.47,,,
"Nov, 2018",384.1,199.86,5.45,0,4.5,0,0,593.91,,nov report link,
"Dec, 2018",774.87,208.49,5.36,0,7.68,0,0,996.4,,dec report link,
Year 2018,10504.79,2244.92,63.58,0,71.08,0,0,12884.37,,,
,,,,,,,,,,,
"Jan, 2019",767.72,233.43,5.5,0,6.73,0,0,1013.38,,,
"Feb, 2019",741.06,236.82,7.81,0,5.95,0,0,991.64,,,
"Mar, 2019",789.41,304.2,9.75,5.09,12.8,0,0,1121.25,,,
"Apr, 2019",1031.56,308.85,10.49,3.19,7.89,0,7.77,1369.75,,,
"May, 2019",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
"Jun, 2019",1487.12,264.17,8.15,0,9,0,8.31,1776.75,,,
"Jul, 2019",2142.29,285.85,8.14,0,14.34,0,0,2450.62,,,
"Aug, 2019",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
"Sep, 2019",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
"Oct, 2019",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
"Nov, 2019",812.02,275.84,8.39,0.87,17.26,0,0,1114.38,,,
"Dec, 2019",1384.15,328.26,10.74,3.77,19.17,0,0,1746.09,,,
Year 2019,9155.33,2237.42,68.97,12.92,93.14,0,16.08,11583.86,,,
,,,,,,,,,,,
"Jan, 2020",1093.84,356.69,14.33,2.28,17.67,0,0,1484.81,Source: 2021-2022,jan report: link,
"Feb, 2020",959.47,366.42,11.61,3.62,17.4,0,0,1358.51,cea.nic.in,feb report link,
"Mar, 2020",1066.38,403.69,10.86,2.21,21.75,0,2.69,1507.59,,mar report link,
"Apr, 2020",1046.06,405.77,10.16,2.21,16.24,0,3.29,1483.73,,apr report link,
"May, 2020",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
"Jun, 2020",1030.61,341.17,10.76,0,11.9,0,2.7,1397.13,,jun report link,
"Jul, 2020",1219.11,328.54,9.76,0,14.92,0,4.62,1576.95,,jul report link,
"Aug, 2020",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
"Sep, 2020",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
"Oct, 2020",N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,
"Nov, 2020",1074.57,374.32,0,4.57,19.85,0,0,1473.31,,nov report link,
"Dec, 2020",1100.66,408.32,0,3.63,22.6,0,0,1535.21,,dec report link,
Year 2020,8590.7,2984.92,67.48,18.52,142.33,0,13.3,11817.24,,,
,,,,,,,,,,,
"Jan, 2021",1215.92,456.31,0,3.78,18.61,0,0,1694.62,Source: 2021-2022,jan report link,
"Feb, 2021",742.23,438.28,0,3.09,18.87,0,0,1202.46,cea.nic.in,feb report link,
"Mar, 2021",1000.05,531.71,0,1.2,20.35,0,0,1553.31,,mar report link,
"Apr, 2021",1079.2,524.22,0,1.78,14.29,0,0,1619.49,,apr report link,
"May, 2021",1934.75,570.46,0,0.26,9.15, ,0,2514.62,,may report link,
"Jun, 2021",2137.71,529.38,0,0,5.91,0,0,2673,,jun report link,
"Jul, 2021",2769.6,471.44,0,0,15.02,0,0,3256.06,,july report link,
"Aug, 2021",1946.93,475.77,0,0,15.16,0,0,2437.86,,aug report link,
"Sep, 2021",1106.05,381.07,0,0,11.37,0,0,1498.49,,sept report link,
"Oct, 2021",712.19,569.86,0,1.79,16.89,0,0,1300.73,,oct report link,
"Nov, 2021",1066.48,575.19,0,3.49,18.63,0,0,1663.79,,nov report link,
"Dec, 2021",1456.49,594.8,0,4.76,19.79,0,0,2075.84,,dec report link,
Year 2021,17167.6,6118.49,0,20.15,184.04,0,0,23490.27,,,
,,,,,,,,,,,
"Jan, 2022",1269.26,653.29,0,3.11,22.1,0,0,1947.75,,,
Feb 2022,1000.47,668.61,0,2.11,20.51,0,0,1691.69,,,
"Mar, 2022",1375.64,760.42,0,0.87,23.29,0,0,2160.22,,,
"Apr, 2022",1644.49,841.65,0,2.07,15.12,0,2.24,2505.57,,,
May 2022,2843.95,925.93,0,0.79,12.37,0,0,3783.04,,,
"Jun, 2022",2188.45,838.77,0,0,8.16,0,0,3035.38,,,
"Jul, 2022",2216.97,633.18,0,0,8.16,0,0,2858.31,,,
Aug 2022,1629.11,648.12,0,0,21.79,0,0,2299.03,,,
"Sep, 2022",1157.07,775.12,0,0,24.03,0,0,1956.22,,,
"Oct, 2022",959.35,890.54,0,0.03,21.56,0,0,1871.47,,,
Nov 2022,712.15,821.67,0,0,16.23,0,0,1550.06,,,
"Dec, 2022",1591.32,835.69,0,0,17.33,0,0,2444.35,,,
Year 2022,18588.23,9292.99,0,8.98,210.65,0,2.24,28103.09,,,
,,,,,,,,,,,
Jan 2023,2119.95,1005.16,0,2.87,20.35,258.45,0,3406.79,Source: 2023-2024          Jan report link,,
Feb 2023,975.78,1052.57,0,0,24.42,417.21,0,2469.98,cea.nic.in,Feb report link,
Mar 2023,1167.62,1066.91,0,0,23.57,291.45,0,2549.55,,Mar report link,
Apr 2023,1478.24,1147.51,0,0,19.68,154.53,0,2799.97,,april report link,
May 2023,3649.99,1428.45,0,0,15.79,112.23,0,5206.46,,may report link,
Jun 2023,2571.69,907.11,0,0,15.39,116.02,0,3610.2,,jun report link,
Jul 2023,2118.65,779.54,0,0,7.76,441.47,0,3347.43,,july report link,
Aug 2023,3804.74,924.51,0,0,17.99,1004.62,0,5751.86,,aug report link,
Sep 2023,1974.44,1005.11,0,0,18.37,769.4,0,3767.32,,sept report link,
Oct 2023,900.72,1221.38,0,0,15.67,609.01,0,2746.78,,oct report link,
Nov 2023,1277.67,1020.28,0,0.74,15.61,256.76,0,2571.06,,nov report link,
Dec 2023,2028.39,1065.84,0,0,18.86,253.05,0,3366.14,,,
Year 2023,24067.88,12624.37,0,3.61,213.46,4684.2,0,41593.54,,,
,,,,,,,,,,,
Jan 2024,1455.35,1226.22,0,1.39,21.39,312.93,0,3017.29,,,
Feb 2024,1745.66,1210.11,0,0,23.28,304.61,0,3283.67,,,
Mar 2024,1788.94,1532.85,0,0,27.9,221.7,0,3571.39,,,
Apr 2024,1932.36,1574.4,0,0,20.1,188.76,0,3715.62,,,
May 2024,3042.17,1752.88,2.52,0,15.25,255.6,0,5068.42,,,
Jun 2024,2773.46,1470.71,2.13,0,13.78,436.11,0,4696.19,,,
Jul 2024,2878.04,1185.52,1.58,0,12.97,308.08,0,4386.18,,,
Aug 2024,3157.93,1235.26,2.49,0,13.68,1065.37,0,5474.72,,,
Sep 2024,1548.55,1490.92,2.12,0,12.94,1251.19,0,4305.72,,,
Oct 2024,877.91,1614.25,7.02,0,10.18,966.65,0,3476.01,,,
Nov 2024,856.92,1632.4,10.56,0,12.05,289.53,0,2801.45,,,
Dec 2024,2587.37,1448.86,15.08,0,18.13,379.33,0,4448.77,,,
Year 2024,24644.66,17374.38,43.5,1.39,201.65,5979.86,0,48245.43,,,